id,collegi,provincia,partito politico 
470,Treviglio,Bergamo,clericali
471,Treviso,Treviso,monarchici
472,Tricarico,Potenza,monarchici
473,Tricase,Lecce,monarchici
474,Tropea,Catanzaro,monarchici
475,Udine,Udine,radicali
476,Urbino,Pesaro e Urbino,repubblicani
477,Valdagno,Vicenza,monarchici
478,Valenza,Alessandria,monarchici
479,Vallo della Lucania,Salerno,monarchici
480,Varallo,Novara,monarchici
481,Varese,Como,radicali
482,Vasto,Chieti,monarchici
483,Velletri,Roma,radicali
484,Venezia I,Venezia,socialisti
485,Venezia II,Venezia,monarchici
486,Venezia III,Venezia,monarchici
487,Verbicaro,Cosenza,radicali
488,Vercelli,Novara,socialisti
489,Vergato,Bologna,monarchici
490,Verolanuova,Brescia,clericali
491,Verona I,Verona,socialisti
492,Verona II,Verona,monarchici
493,Verrès,Torino,clericali
494,Vicenza,Vicenza,monarchici
495,Vicopisano,Pisa,repubblicani
496,Vigevano,Pavia,socialisti
497,Vignale,Alessandria,socialisti
498,Vigone,Torino,monarchici
499,Vigonza,Padova,clericali
500,Villadeati,Alessandria,monarchici
501,Villanuova d’Asti,Alessandria,clericali
502,Vimercate,Milano,monarchici
503,Viterbo,Roma,monarchici
504,Vittorio,Treviso,monarchici
505,Voghera,Pavia,monarchici
506,Volterra,Pisa,monarchici
507,Voltri,Genova,monarchici
508,Zogno,Bergamo,monarchici
